csat_id,ticket_id,assignee_id,score_raw,score,comentario,avaliado_em,ano_mes,semana_iso,promotor,detrator,group_id,nome_grupo,time
52038343130003,62049,50102757263251.0,good,5.0,,2026-05-26 15:08:31+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52038370989203,62049,50102757263251.0,offered,,,2026-05-26 15:08:14+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52038287255059,62031,50102757263251.0,offered,,,2026-05-26 15:05:54+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52038206800915,62007,50775890335379.0,good,5.0,Cordiais e eficientes,2026-05-26 15:04:14+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52038164117523,62007,50775890335379.0,offered,,,2026-05-26 15:03:02+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52038160142995,62003,50775753383827.0,good,5.0,,2026-05-26 15:02:32+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52038008859027,61783,50775890335379.0,good,5.0,,2026-05-26 15:00:29+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52037843970195,62014,50775890335379.0,good,5.0,,2026-05-26 14:55:56+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52037687692819,62003,50775753383827.0,offered,,,2026-05-26 14:52:19+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52037683508627,62014,50775890335379.0,offered,,,2026-05-26 14:51:37+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52037635714451,61993,50775890335379.0,offered,,,2026-05-26 14:51:30+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52037461090323,62032,50102757263251.0,offered,,,2026-05-26 14:46:02+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52037259202195,61999,50775753383827.0,offered,,,2026-05-26 14:40:46+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52037099046291,62037,50102757263251.0,offered,,,2026-05-26 14:36:48+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52037061633555,61783,50775890335379.0,offered,,,2026-05-26 14:35:04+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52037032677139,62010,50775753383827.0,good,5.0,,2026-05-26 14:34:50+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52037036916115,62010,50775753383827.0,offered,,,2026-05-26 14:34:14+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52036928448147,61998,50775753383827.0,good,5.0,,2026-05-26 14:31:33+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52036889220499,61998,50775753383827.0,offered,,,2026-05-26 14:30:46+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52036580902803,61956,51393694500371.0,offered,,,2026-05-26 14:23:16+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52036312009235,61876,50775890335379.0,good,5.0,,2026-05-26 14:15:54+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52036330920723,61876,50775890335379.0,offered,,,2026-05-26 14:15:27+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52036309258003,62030,50102757263251.0,offered,,,2026-05-26 14:15:27+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52036305866771,61977,51393694500371.0,offered,,,2026-05-26 14:14:53+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52036287668371,61976,50775753383827.0,good,5.0,,2026-05-26 14:14:40+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52036154329235,61990,51393694500371.0,offered,,,2026-05-26 14:11:58+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52036150336275,61996,50775753383827.0,good,5.0,Gustavo foi muoto prestativo e resolveu mi ha pendência de imediato.,2026-05-26 14:11:20+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52036078801171,61996,50775753383827.0,offered,,,2026-05-26 14:09:58+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52036076587539,61976,50775753383827.0,offered,,,2026-05-26 14:09:39+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52036043287955,61989,51393694500371.0,offered,,,2026-05-26 14:08:32+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52036016359827,61961,51393694500371.0,offered,,,2026-05-26 14:07:59+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52035916842387,62020,50102757263251.0,offered,,,2026-05-26 14:05:41+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52035756031507,61971,51393694500371.0,offered,,,2026-05-26 14:02:03+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52035749692563,62023,50102757263251.0,offered,,,2026-05-26 14:01:47+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52035709400595,61838,51393694500371.0,good,5.0,Boa compreensão e me ajudou a ter mais lucidez sobre o tratamento. ,2026-05-26 14:01:21+00:00,2026-05,2026-W22,True,False,43771604769299,Blis Saúde,Blis Saúde
52035653802259,61939,51393694500371.0,offered,,,2026-05-26 13:59:46+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52035617394835,61964,50102757263251.0,bad,1.0,,2026-05-26 13:59:16+00:00,2026-05,2026-W22,False,True,50304023554451,IA,IA
52035616000787,61932,51393694500371.0,offered,,,2026-05-26 13:59:01+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52035626545683,61931,51393694500371.0,offered,,,2026-05-26 13:58:29+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
