ticket_id,primeira_resposta_min,primeira_resposta_biz_min,resolucao_min,resolucao_biz_min,pendencia_min,pendencia_biz_min,primeira_resposta_h,resolucao_h,pendencia_h,num_respostas,num_reabertas
35344,,,0.0,0.0,0.0,0.0,,,,0,0
35347,,,0.0,0.0,0.0,0.0,,,,0,0
35348,,,0.0,0.0,0.0,0.0,,,,0,0
35343,,,0.0,0.0,0.0,0.0,,,,0,0
35314,,,0.0,0.0,0.0,0.0,,,,0,0
35331,,,0.0,0.0,0.0,0.0,,,,0,0
35328,,,0.0,0.0,0.0,0.0,,,,0,0
35333,,,0.0,0.0,0.0,0.0,,,,0,0
35322,,,0.0,0.0,0.0,0.0,,,,0,0
35335,,,0.0,0.0,0.0,0.0,,,,0,0
35325,,,0.0,0.0,0.0,0.0,,,,0,0
35350,,,0.0,0.0,0.0,0.0,,,,0,0
35352,,,0.0,0.0,0.0,0.0,,,,0,0
35316,,,0.0,0.0,0.0,0.0,,,,0,0
35318,,,0.0,0.0,0.0,0.0,,,,0,0
35317,,,0.0,0.0,0.0,0.0,,,,0,0
35329,,,0.0,0.0,0.0,0.0,,,,0,0
35332,,,0.0,0.0,0.0,0.0,,,,0,0
35326,,,0.0,0.0,0.0,0.0,,,,0,0
35339,,,0.0,0.0,0.0,0.0,,,,0,0
35345,,,0.0,0.0,0.0,0.0,,,,0,0
35324,,,0.0,0.0,0.0,0.0,,,,0,0
35346,,,0.0,0.0,0.0,0.0,,,,0,0
35349,,,0.0,0.0,0.0,0.0,,,,0,0
35338,,,0.0,0.0,0.0,0.0,,,,0,0
35336,,,0.0,0.0,0.0,0.0,,,,0,0
35321,,,0.0,0.0,0.0,0.0,,,,0,0
35330,,,0.0,0.0,0.0,0.0,,,,0,0
35342,,,0.0,0.0,0.0,0.0,,,,0,0
35320,,,0.0,0.0,0.0,0.0,,,,0,0
35340,,,0.0,0.0,0.0,0.0,,,,0,0
35334,,,0.0,0.0,0.0,0.0,,,,0,0
35341,,,0.0,0.0,0.0,0.0,,,,0,0
35360,,,0.0,0.0,0.0,0.0,,,,0,0
35355,,,0.0,0.0,0.0,0.0,,,,0,0
35357,,,0.0,0.0,0.0,0.0,,,,0,0
35354,,,0.0,0.0,0.0,0.0,,,,0,0
35351,,,0.0,0.0,0.0,0.0,,,,0,0
35363,,,0.0,0.0,0.0,0.0,,,,0,0
35366,,,0.0,0.0,0.0,0.0,,,,0,0
35368,,,0.0,0.0,0.0,0.0,,,,0,0
35365,,,0.0,0.0,0.0,0.0,,,,0,0
35356,,,0.0,0.0,0.0,0.0,,,,0,0
35353,,,0.0,0.0,0.0,0.0,,,,0,0
35359,,,0.0,0.0,0.0,0.0,,,,0,0
35362,,,0.0,0.0,0.0,0.0,,,,0,0
35367,,,0.0,0.0,0.0,0.0,,,,0,0
35369,,,0.0,0.0,0.0,0.0,,,,0,0
35361,,,0.0,0.0,0.0,0.0,,,,0,0
35364,,,0.0,0.0,0.0,0.0,,,,0,0
35358,,,0.0,0.0,0.0,0.0,,,,0,0
35371,,,0.0,0.0,0.0,0.0,,,,0,0
35376,,,0.0,0.0,0.0,0.0,,,,0,0
35391,,,0.0,0.0,0.0,0.0,,,,0,0
35397,,,0.0,0.0,0.0,0.0,,,,0,0
35399,,,0.0,0.0,0.0,0.0,,,,0,0
35400,,,0.0,0.0,0.0,0.0,,,,0,0
35394,,,0.0,0.0,0.0,0.0,,,,0,0
35406,,,0.0,0.0,0.0,0.0,,,,0,0
35408,,,0.0,0.0,0.0,0.0,,,,0,0
35370,,,0.0,0.0,0.0,0.0,,,,0,0
35381,,,0.0,0.0,0.0,0.0,,,,0,0
35379,,,0.0,0.0,0.0,0.0,,,,0,0
35401,,,0.0,0.0,0.0,0.0,,,,0,0
35404,,,0.0,0.0,0.0,0.0,,,,0,0
35407,,,0.0,0.0,0.0,0.0,,,,0,0
35410,,,0.0,0.0,0.0,0.0,,,,0,0
35393,,,0.0,0.0,0.0,0.0,,,,0,0
35403,,,0.0,0.0,0.0,0.0,,,,0,0
35422,,,0.0,0.0,0.0,0.0,,,,0,0
35378,,,0.0,0.0,0.0,0.0,,,,0,0
35382,,,0.0,0.0,0.0,0.0,,,,0,0
35386,,,0.0,0.0,0.0,0.0,,,,0,0
35409,,,0.0,0.0,0.0,0.0,,,,0,0
35402,,,0.0,0.0,0.0,0.0,,,,0,0
35413,,,0.0,0.0,0.0,0.0,,,,0,0
35418,,,0.0,0.0,0.0,0.0,,,,0,0
35375,,,0.0,0.0,0.0,0.0,,,,0,0
35373,,,0.0,0.0,0.0,0.0,,,,0,0
35389,,,0.0,0.0,0.0,0.0,,,,0,0
35390,,,0.0,0.0,0.0,0.0,,,,0,0
35383,,,0.0,0.0,0.0,0.0,,,,0,0
35387,,,0.0,0.0,0.0,0.0,,,,0,0
35398,,,0.0,0.0,0.0,0.0,,,,0,0
35388,,,0.0,0.0,0.0,0.0,,,,0,0
35395,,,0.0,0.0,0.0,0.0,,,,0,0
35411,,,0.0,0.0,0.0,0.0,,,,0,0
35414,,,0.0,0.0,0.0,0.0,,,,0,0
35380,,,0.0,0.0,0.0,0.0,,,,0,0
35374,,,0.0,0.0,0.0,0.0,,,,0,0
35372,,,0.0,0.0,0.0,0.0,,,,0,0
35384,,,0.0,0.0,0.0,0.0,,,,0,0
35377,,,0.0,0.0,0.0,0.0,,,,0,0
35385,,,0.0,0.0,0.0,0.0,,,,0,0
35392,,,0.0,0.0,0.0,0.0,,,,0,0
35405,,,0.0,0.0,0.0,0.0,,,,0,0
35396,,,0.0,0.0,0.0,0.0,,,,0,0
35416,,,0.0,0.0,0.0,0.0,,,,0,0
35417,,,0.0,0.0,0.0,0.0,,,,0,0
35421,,,0.0,0.0,0.0,0.0,,,,0,0
35426,,,0.0,0.0,0.0,0.0,,,,0,0
35431,,,0.0,0.0,0.0,0.0,,,,0,0
35436,,,0.0,0.0,0.0,0.0,,,,0,0
35441,,,0.0,0.0,0.0,0.0,,,,0,0
